Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
U1,MWN 2598,Mus musculus,female,a,156+,58+,18,13,27,PAR,,,,,MWN,
U1,MWN 2599,Mus musculus,male,a,155+,66+,17,12,21,,19,14,,few sperm visible,MWN,
U1,MWN 2600,Mus musculus,female,a,165+,69+,18,13,24,PAR,,,,,MWN,
U1,MWN 2601,Mus musculus,male,a,128+,39+,17,13,20,,72,50,+,,MWN,
U1,MWN 2602,Mus musculus,female,a,134+,43+,17,12,22,"4R 3L, 9 mm",,,,,MWN,
U1,MWN 2603,Mus musculus,male,a,125+,42+,16,13,19,,83,35,,one testes atrophied,MWN,
U1,MWN 2604,Mus musculus,female,a,160+,67+,18,13,20,PAR,,,,,MWN,
U1,MWN 2605,Mus musculus,male,a,155+,60+,18,12,23,,29,53,+,no sperm visible,DNM,
U1,MWN 2606,Mus musculus,female,a,137+,53+,17,12,20,"3R 4L, 3 mm",,,,,MWN,
U1,MWN 2607,Mus musculus,male,a,150+,64+,17,12,23,,89,56,+,,DNM,
U1,MWN 2608,Mus musculus,female,a,141+,50+,17,13,20,PAR,,,,,MWN,
U1,MWN 2609,Mus musculus,male,a,128+,45+,17,13,17,,26,38,+,had hernia; few sperm visible,DNM,
U1,MWN 2610,Mus musculus,female,a,152+,51+,17,13,30,"2R 2L, 13 mm",,,,light belly,MWN,
U1,MWN 2611,Mus musculus,male,a,165+,72+,18,13,24,,38,31,++,few sperm visible,DNM,
U1,MWN 2612,Mus musculus,female,a,141+,54+,17,12,20,PAR,,,,,MWN,
U1,MWN 2613,Mus musculus,male,a,161+,75+,17,13,24,,55,54,+,,DNM,
U1,MWN 2614,Mus musculus,female,a,157+,59+,17,13,25,PAR,,,,,MWN,
U1,MWN 2615,Mus musculus,male,a,124+,36+,17,12,24,,90,80,,,DNM,
U1,MWN 2616,Mus musculus,female,a,151+,60+,16,12,21,PAR,,,,,MWN,
U1,MWN 2617,Mus musculus,female,a,158+,62+,18,13,25,PAR,,,,,MWN,
U1,MWN 2618,Mus musculus,female,a,145+,53+,18,13,22,"2R 3L, 11 mm",,,,light belly,MWN,
U1,MWN 2619,Mus musculus,female,a,170+,67+,17,14,30,"2R 2L, 1 emb 10 mm, 3 emb atrophied",,,,,MWN,
U1,MWN 2620,Mus musculus,female,a,137+,47+,17,12,25,"4R 2L, 13 mm",,,,,MWN,
U1,MWN 2621,Mus musculus,female,a,139+,47+,17,13,23,PAR,,,,,MWN,
U1,MWN 2622,Mus musculus,female,a,185+,88+,18,13,24,"1R 0L, 4 mm",,,,,MWN,
U1,MWN 2623,Mus musculus,female,a,149+,57+,17,13,23,PAR,,,,,MWN,
U1,MWN 2624,Mus musculus,female,a,135+,45+,17,12,24,"1R 0L, 14 mm",,,,,MWN,
U1,MWN 2625,Mus musculus,female,a,141+,53+,17,12,23,"3R 2L, 9 mm",,,,,MWN,
U1,MWN 2626,Mus musculus,female,a,150+,65+,17,12,17,PAR,,,,,MWN,
U1,MWN 2627,Mus musculus,female,sa,127+,52+,17,12,13,NULL,,,,,MWN,
U1,MWN 2628,Mus musculus,female,a,168+,73+,17,13,24,PAR,,,,,MWN,
U1,MWN 2629,Mus musculus,female,a,156+,70+,18,13,22,PAR,,,,,MWN,
U1,MWN 2630,Mus musculus,female,a,175+,75+,18,13,26,"2R 0L, 4 mm",,,,,MWN,
U1,MWN 2631,Mus musculus,female,a,145+,51+,18,13,22,PAR,,,,,MWN,
U1,MWN 2632,Mus musculus,female,a,138+,49+,17,12,24,"1R 1L, 22 mm",,,,,MWN,
U1,MWN 2633,Mus musculus,female,a,150+,67+,17,12,21,"3R 3L, 11 mm",,,,,MWN,
U1,MWN 2634,Mus musculus,female,a,159+,67+,17,13,22,PAR,,,,,MWN,
U1,MWN 2635,Mus musculus,female,a,185,89,18,13,22,"1R 0L, 5 mm",,,,,MWN,
U1,MWN 2636,Mus musculus,female,a,128+,43+,17,13,24,"3R 3L, 15 mm",,,,,MWN,
U1,MWN 2637,Mus musculus,female,a,131+,44+,18,13,30,"5R 1L, 15 mm",,,,,MWN,
U1,MWN 2638,Mus musculus,female,a,157+,69+,18,13,26,"2R 3L, 8 mm",,,,,MWN,
U1,MWN 2639,Mus musculus,female,a,140+,50+,17,13,22,"1R 1L, 5 mm",,,,,MWN,
U1,MWN 2640,Mus musculus,female,a,165+,67+,18,13,26,PAR,,,,growth on neck,DNM,
U1,MWN 2641,Mus musculus,female,a,172+,75+,19,13,24,PAR,,,,,DNM,
U1,MWN 2642,Mus musculus,female,a,135+,57+,18,13,15,PAR,,,,,DNM,
U1,MWN 2643,Mus musculus,male,a,160+,71+,18,13,22,,27,75,++,no sperm visible,MWN,
U1,MWN 2644,Mus musculus,female,a,165+,68+,19,13,27,"1R 0L, 10 mm",,,,,DNM,
U1,MWN 2645,Mus musculus,male,a,149+,60+,17,12,21,,42,65,,,MWN,
U1,MWN 2646,Mus musculus,female,a,141+,47+,18,13,26,"3R 1L, 11 mm",,,,,MWN,
U1,MWN 2647,Mus musculus,male,a,120+,35+,17,12,18,,43,25,,,MWN,
U1,MWN 2648,Mus musculus,female,a,153+,60+,17,13,21,PAR,,,,,MWN,
U1,MWN 2649,Mus musculus,male,a,133+,43+,17,13,21,,63,51,+,,MWN,
U1,MWN 2650,Mus musculus,female,a,138+,47+,17,12,26,"1R 1L, 20 mm",,,,light belly,MWN,
U1,MWN 2651,Mus musculus,male,a,161+,72+,17,12,20,,72,73,,,MWN,
U1,MWN 2652,Mus musculus,female,a,155+,59+,18,13,24,"2R 3L, 4 mm",,,,,MWN,
U1,MWN 2653,Mus musculus,male,a,150+,56+,18,13,21,,61,27,,,MWN,
U1,MWN 2654,Mus musculus,female,a,138+,47+,17,13,22,PAR,,,,,MWN,
U1,MWN 2655,Mus musculus,male,a,150+,62+,17,13,17,,67,42,+++,,MWN,
U1,MWN 2656,Mus musculus,female,a,157+,64+,17,13,27,"3R 3L, 15 mm",,,,,MWN,
U1,MWN 2657,Mus musculus,male,sa,127+,52+,16,11,13,,63,23,,,MWN,
U1,MWN 2658,Mus musculus,female,a,152+,54+,18,13,26,"1R 1L, 11 mm",,,,,MWN,
U1,MWN 2659,Mus musculus,male,a,120+,33+,17,12,19,,51,63,++,,MWN,
U1,MWN 2660,Mus musculus,female,a,170+,65+,18,13,23,"2R 0L, 5 mm",,,,,MWN,
U1,MWN 2661,Mus musculus,female,a,146+,58+,17,13,20,PAR,,,,light belly,MWN,
U1,MWN 2662,Mus musculus,female,a,172+,71+,18,13,22,PAR,,,,,MWN,
U1,MWN 2663,Mus musculus,male,a,149+,56+,17,13,15,,43,46,,missing leg,MWN,
U1,MWN 2664,Mus musculus,female,a,130+,42+,17,13,21,PAR,,,,,MWN,
U2,MWN 2665,Mus musculus,male,a,141+,55+,17,13,19,,69,56,+,,DNM,
U1,MWN 2666,Mus musculus,female,a,163+,72+,17,13,22,PAR,,,,,MWN,
U1,MWN 2667,Mus musculus,female,a,131+,42+,17,13,19,PAR,,,,,MWN,
U1,MWN 2668,Mus musculus,female,a,130+,43+,18,13,21,PAR,,,+,,MWN,
U2,MWN 2669,Mus musculus,male,a,134+,47+,18,13,21,,67,54,,,DNM,
U1,MWN 2670,Mus musculus,female,a,144+,56+,17,13,20,PAR,,,,,MWN,
U1,MWN 2671,Mus musculus,female,a,155+,63+,17,13,22,"3R 2L, 5 mm",,,,,MWN,
U1,MWN 2672,Mus musculus,female,a,135+,47+,17,13,20,"1R 0L, 18 mm",,,,growth on right side,MWN,
U1,MWN 2673,Mus musculus,female,a,148+,61+,16,13,18,"3R 2L, 6 mm",,,,,MWN,
U1,MWN 2674,Mus musculus,female,a,125+,37+,18,13,20,"1R 0L, 7 mm",,,,,MWN,
U2,MWN 2675,Mus musculus,male,a,150+,60+,19,12,19,,48,28,+,no sperm visible,DNM,
U2,MWN 2676,Mus musculus,female,a,136+,44+,18,13,24,"0R 1L, 18 mm",,,,,DNM,
U2,MWN 2677,Mus musculus,male,a,148+,55+,18,12,21,,48,75,+,,DNM,
U2,MWN 2678,Mus musculus,female,a,156+,61+,17,13,26,"3R 1L, 9 mm",,,,,DNM,
U2,MWN 2679,Mus musculus,male,a,117+,35+,18,13,16,,54,45,,,DNM,
U2,MWN 2680,Mus musculus,female,a,142+,47+,19,13,28,"1R 3L, 11 mm",,,,,DNM,
U2,MWN 2681,Mus musculus,male,a,132+,50+,18,12,16,,51,43,+,,DNM,
U2,MWN 2682,Mus musculus,female,a,168+,73+,18,13,26,PAR,,,,,DNM,
U2,MWN 2683,Mus musculus,male,a,128+,44+,16,12,16,,69,27,,,DNM,
U2,MWN 2684,Mus musculus,female,a,129+,45+,17,11,20,PAR,,,,,DNM,
U2,MWN 2685,Mus musculus,male,a,129+,51+,19,13,21,,79,49,+,,DNM,
U2,MWN 2686,Mus musculus,female,a,156+,67+,18,13,21,PAR,,,,,DNM,
U2,MWN 2687,Mus musculus,male,a,121+,41+,17,12,20,,74,43,,,DNM,
U2,MWN 2688,Mus musculus,female,a,148+,57+,18,13,20,"0R 1L, 10 mm",,,,,DNM,
U2,MWN 2689,Mus musculus,male,a,154+,69+,17,13,18,,56,30,,,DNM,
U2,MWN 2690,Mus musculus,female,a,159+,68+,18,12,19,NULL,,,+,,DNM,
U2,MWN 2691,Mus musculus,male,a,140+,53+,17,12,18,,68,52,+,,DNM,
U2,MWN 2692,Mus musculus,female,a,180+,90+,19,12,21,PAR,,,,,DNM,
U2,MWN 2693,Mus musculus,male,a,144+,58+,17,13,22,,50,56,+,,DNM,
U2,MWN 2694,Mus musculus,female,a,177+,84+,17,12,21,PAR,,,,,DNM,
U2,MWN 2695,Mus musculus,male,a,144+,55+,18,13,19,,52,38,+,,DNM,
U2,MWN 2696,Mus musculus,female,a,139+,44+,19,13,23,PAR,,,,white spot on belly,DNM,
U2,MWN 2697,Mus musculus,male,a,111+,22+,17,12,20,,58,42,,,DNM,
U2,MWN 2698,Mus musculus,female,a,152+,60+,18,13,23,PAR,,,,,DNM,
U2,MWN 2699,Mus musculus,male,a,135+,44+,16,12,23,,52,82,+,some abnormal sperm,DNM,
U2,MWN 2700,Mus musculus,female,a,148+,63+,18,13,20,"0R 3L, 10 mm",,,,,DNM,
U2,MWN 2701,Mus musculus,male,a,122+,34+,17,12,18,,62,64,,,DNM,
U2,MWN 2702,Mus musculus,female,a,176+,80+,19,13,27,PAR,,,+,hind leg tumor; white patch on belly,DNM,
U2,MWN 2703,Mus musculus,male,a,124+,30+,19,12,23,,59,40,,abnormal sperm,DNM,
U2,MWN 2704,Mus musculus,female,a,161+,66+,19,13,26,PAR,,,,,DNM,
U2,MWN 2705,Mus musculus,male,a,128+,40+,17,13,20,,85,57,+,,DNM,
U2,MWN 2706,Mus musculus,female,a,160+,71+,17,12,22,PAR,,,,,DNM,
U2,MWN 2707,Mus musculus,male,a,116+,37+,16,11,15,,32,38,,,DNM,
U2,MWN 2708,Mus musculus,female,a,126+,45+,17,12,18,PAR,,,,,DNM,
U2,MWN 2709,Mus musculus,male,a,142+,56+,17,13,20,,71,62,,,DNM,
U2,MWN 2710,Mus musculus,female,a,139+,49+,17,12,26,"3R 2L, 15mm",,,,,MWN,
U2,MWN 2711,Mus musculus,male,a,133+,43+,19,13,25,,-,10,,patchy fur; sickly; growth on liver; stunted penis; no testes,DNM,
U2,MWN 2712,Mus musculus,female,a,162+,71+,17,13,20,PAR,,,,,MWN,
U2,MWN 2713,Mus musculus,male,a,140+,52+,17,12,21,,60,39,,,MWN,
U2,MWN 2714,Mus musculus,female,a,137+,47+,18,13,19,PAR,,,,,MWN,
U2,MWN 2715,Mus musculus,male,a,156+,68+,17,13,22,,57,44,,,MWN,
U2,MWN 2716,Mus musculus,female,a,188,91,18,13,20,PAR,,,,,MWN,
U2,MWN 2717,Mus musculus,male,a,137+,53+,17,12,18,,66,40,+ ,,MWN,
U2,MWN 2718,Mus musculus,female,a,136+,50+,17,13,22,"4R 3L, 4mm",,,,,MWN,
U2,MWN 2719,Mus musculus,male,a,144+,61+,17,13,19,,75,25,,,DNM,
U2,MWN 2720,Mus musculus,female,a,127+,40+,17,13,22,"4R  2L, 3mm",,,,,MWN,
U2,MWN 2721,Mus musculus,male,a,130+,41+,18,13,22,,103,29,+,,DNM,
U2,MWN 2722,Mus musculus,female,a,138+,46+,17,12,22,PAR,,,,,MWN,
U2,MWN 2723,Mus musculus,male,a,135+,50+,17,13,20,,65,28,+,,DNM,
U2,MWN 2724,Mus musculus,female,a,141+,45+,18,13,24,PAR,,,,,MWN,
U2,MWN 2725,Mus musculus,male,a,131+,52+,17,12,18,,76,14,,White patch on fur,DNM,
U2,MWN 2726,Mus musculus,female,a,145+,53+,17,13,25,"0R 3L, 12mm",,,,,MWN,
U2,MWN 2727,Mus musculus,male,a,129+,56+,16,12,16,,68,30,,,DNM,
U2,MWN 2728,Mus musculus,female,a,144+,47+,18,13,27,"1R 5L, 13mm",,,,,MWN,
U2,MWN 2729,Mus musculus,male,a,151+,69+,16,13,20,,73,38,,,DNM,
U2,MWN 2730,Mus musculus,female,a,152+,62+,17,13,27,"2R 3L, 24mm",,,,,MWN,
U2,MWN 2731,Mus musculus,female ,a,143+,46+,18,13,24,PAR,,,,,DNM,
U2,MWN 2732,Mus musculus,female,a,129+,43+,17,12,24,"2R 4L, 10mm",,,,,MWN,
U2,MWN 2733,Mus musculus,female,a,164+,75+,17,13,23,PAR,,,,white patch on belly,DNM,
U2,MWN 2734,Mus musculus,female,a,135+,45+,18,13,23,"2R 3L, 3mm",,,,,MWN,
U2,MWN 2735,Mus musculus,female,a,171+,78+,18,13,21,PAR,,,,light belly,DNM,
U2,MWN 2736,Mus musculus,female,a,148+,56+,17,12,22,PAR,,,,,MWN,
U2,MWN 2737,Mus musculus,female,a,143+,55+,17,13,21,PAR,,,,,DNM,
U2,MWN 2738,Mus musculus,female,a,149+,64+,17,12,19,PAR,,,,,MWN,
U2,MWN 2739,Mus musculus,female ,a,158+,67+,17,13,25,"1R 3L, 12mm",,,,,DNM,
U2,MWN 2740,Mus musculus,female,a,174+,77+,18,13,26,"0R 1L, 14mm",,,,,MWN,
U2,MWN 2741,Mus musculus,female,a,152+,61+,17,13,20,PAR,,,,,DNM,
U2,MWN 2742,Mus musculus,female,a,140+,48+,18,13,25,PAR,,,,,MWN,
U2,MWN 2743,Mus musculus,female,a,184,87,19,12,23,PAR,,,,,DNM,
U2,MWN 2744,Mus musculus,female,a,138+,52+,17,13,18,"3R 2L, 2mm",,,,light belly,MWN,
U2,MWN 2745,Mus musculus,female ,a,180,84,18,12,23,PAR,,,,,DNM,
U2,MWN 2746,Mus musculus,female,a,136+,44+,17,13,23,"1R 4L, 9mm",,,,,MWN,
U2,MWN 2747,Mus musculus,female ,a,169+,72+,19,14,30,"1R 2L+2 atrophied, 12mm",,,,,DNM,
U2,MWN 2748,Mus musculus,female ,a,140+,53+,18,13,26,"1R 3L, 19mm",,,,,MWN,
U2,MWN 2749,Mus musculus,female ,a,164+,70+,18,12,25,PAR,,,,,DNM,
U2,MWN 2750,Mus musculus,female,a,167+,77+,18,14,29,"3R 0L, 22mm",,,,light belly,MWN,
U2,MWN 2751,Mus musculus,female ,a,155+,59+,17,13,25,PAR,,,,,DNM,
U2,MWN 2752,Mus musculus,female,a,160+,63+,19,12,26,PAR,,,,Light belly,DNM,
U2,MWN 2753,Mus musculus,female,a,139+,47+,17,13,22,PAR,,,,,DNM,
U2,MWN 2754,Mus musculus,female,a,154+,66+,17,13,21,PAR,,,,,DNM,
U2,MWN 2755,Mus musculus,female,a,161+,64+,18,13,28,"3R 1L, 3mm",,,,,DNM,
U2,MWN 2756,Mus musculus,female,a,132+,43+,17,12,22,"0R 1L, 19mm",,,,,DNM,
U2,MWN 2757,Mus musculus,female,a,167+,74+,18,13,21,PAR,,,,,DNM,
U2,MWN 2758,Mus musculus,female,a,148+,56+,17,13,21,PAR,,,,,DNM,
U2,MWN 2759,Mus musculus,female ,a,132+,46+,17,14,18,"3R 2L, 2mm",,,,,DNM,
U2,MWN 2760,Mus musculus,female ,a,114+,29+,16,12,21,"1R 2L, 18mm",,,,,DNM,
U2,MWN 2761,Mus musculus,female ,a,173+,81+,18,14,24,"4R 1L, 3mm",,,,,DNM,
U2,MWN 2762,Mus musculus,female ,a,175+,71+,19,13,27,PAR,,,,,DNM,
U2,MWN 2763,Mus musculus,female ,a,151+,60+,17,13,22,PAR,,,,,DNM,
U2,MWN 2764,Mus musculus,female ,a,151+,59+,17,13,23,PAR,,,,,DNM,
U2,MWN 2765,Mus musculus,female ,a,146+,53+,18,13,21,PAR,,,,,DNM,
U2,MWN 2766,Mus musculus,female ,a,132+,38+,18,12,22,PAR,,,,,DNM,
U2,MWN 2767,Mus musculus,female ,a,193,91,18,14,26,PAR,,,,,DNM,
U2,MWN 2768,Mus musculus,female ,a,132+,42+,17,13,20,PAR,,,,,DNM,
U2,MWN 2769,Mus musculus,female ,a,161+,73+,16,13,29,"1R 5L, 20mm",,,,,DNM,
U2,MWN 2770,Mus musculus,female ,a,153+,67+,17,13,17,PAR,,,,,DNM,
U2,MWN 2771,Mus musculus,female ,a,162+,71+,17,13,21,PAR,,,,,DNM,
U2,MWN 2772,Mus musculus,female ,a,148+,58+,17,13,21,PAR,,,,,DNM,
U2,MWN 2773,Mus musculus,female ,a,133+,43+,17,12,19,PAR,,,,,DNM,
U2,MWN 2774,Mus musculus,female,a,126+,43+,17,13,20,PAR,,,,,DNM,
U2,MWN 2775,Mus musculus,male,a,130+,38+,19,12,22,,74,32,++,"Left testis abnormally small, no sperm visible",DNM,
U2,MWN 2776,Mus musculus,female,a,119+,44+,17,12,16,PAR,,,,,DNM,
U2,MWN 2777,Mus musculus,male,a,153+,69+,18,13,21,,60,49,+,,DNM,
U2,MWN 2778,Mus musculus,female,a,140+,56+,16,12,18,PAR,,,,,DNM,
U2,MWN 2779,Mus musculus,male,a,118+,41+,16,12,18,,37,38,++,few sperm visible,DNM,
U2,MWN 2780,Mus musculus,female,sa,120+,42+,17,12,14,NULL,,,,,DNM,
U2,MWN 2781,Mus musculus,male,a,129+,45+,18,13,21,,66,32,,,DNM,
U2,MWN 2782,Mus musculus,female,a,149+,57+,16,12,23,"2R 1L + 1 atrophied, 20mm",,,,white spot on belly,DNM,
U2,MWN 2783,Mus musculus,female,a,155+,61+,19,13,23,PAR,,,,,DNM,
U2,MWN 2784,Mus musculus,female,a,142+,51+,17,14,21,PAR,,,,,DNM,
U2,MWN 2785,Mus musculus,female,a,159+,74+,18,13,21,PAR,,,,,DNM,
U2,MWN 2786,Mus musculus,female,a,163+,67+,18,13,27,PAR,,,,,DNM,
U2,MWN 2787,Mus musculus,female,a,166+,71+,18,13,33,"1R 2L, 19mm",,,,,DNM,
U2,MWN 2788,Mus musculus,female,a,130+,42+,18,13,23,PAR,,,,light belly,DNM,
U2,MWN 2789,Mus musculus,female ,a,137+,48+,17,13,21,PAR,,,,,DNM,
U2,MWN 2790,Mus musculus,female,a,140+,50+,18,13,24,PAR,,,,,DNM,
U2,MWN 2791,Mus musculus,male,a,128+,44+,17,13,22,,63,24,,,DNM,
U2,MWN 2792,Mus musculus,female,a,132+,38+,18,13,24,PAR,,,,,DNM,
U3,MWN 2793,Mus musculus,male,a,152+,67+,17,12,20,,65,42,,,MWN,
U2,MWN 2794,Mus musculus,female,a,122+,37+,17,12,27,"1R 2L, 24 mm",,,,,MWN,
U3,MWN 2795,Mus musculus,male,a,112+,23+,17,13,21,,87,18,,,MWN,
U2,MWN 2796,Mus musculus,female,a,168+,70+,18,13,28,PAR,,,,light belly,MWN,
U3,MWN 2797,Mus musculus,male,a,157+,70+,18,13,19,,14,43,+,missing left testis; few sperm visible,MWN,
U2,MWN 2798,Mus musculus,female,a,138+,42+,18,14,27,"4R 3L, 14 mm",,,,light belly,MWN,
U3,MWN 2799,Mus musculus,male,a,118+,30+,18,12,19,,66,56,+,,MWN,
U2,MWN 2800,Mus musculus,female,a,183,88,18,13,21,NULL,,,,growth on right horn of uterus,MWN,
U3,MWN 2801,Mus musculus,male,a,120+,31+,18,13,19,,32,49,,few visible + abnormal sperm,MWN,
U2,MWN 2802,Mus musculus,female,a,142+,53+,17,13,23,PAR,,,,,MWN,
U3,MWN 2803,Mus musculus,male,a,166+,71+,18,13,24,,78,71,+,,MWN,
U2,MWN 2804,Mus musculus,female,a,138+,50+,17,13,21,"4R 0L, 2 mm",,,,,MWN,
U3,MWN 2805,Mus musculus,male,a,122+,38+,17,12,17,,49,53,,,MWN,
U2,MWN 2806,Mus musculus,female,a,155+,65+,19,13,22,PAR,,,,,MWN,
U3,MWN 2807,Mus musculus,male,sa,143+,61+,17,12,14,,61,7,,,DNM,
U2,MWN 2808,Mus musculus,female,a,140+,37+,18,14,25,PAR,,,,,MWN,
U3,MWN 2809,Mus musculus,male,a,143+,53+,17,13,20,,35,59,+,,DNM,
U2,MWN 2810,Mus musculus,female,a,162+,70+,18,13,25,PAR,,,,,MWN,
U2,MWN 2811,Mus musculus,female,a,150+,63+,16,12,18,PAR,,,,,MWN,
U2,MWN 2812,Mus musculus,female,a,140+,56+,17,13,15,"5R 2L, 1 mm",,,,,MWN,
U3,MWN 2813,Mus musculus,female,a,147+,55+,17,14,32,"2R 4L, 21 mm",,,,,MWN,
U3,MWN 2814,Mus musculus,female,a,148+,57+,18,13,26,"3R 0L, 10 mm",,,,,MWN,
U3,MWN 2815,Mus musculus,male,a,150+,57+,18,12,20,,86,62,+,light belly,DNM,
U3,MWN 2816,Mus musculus,female,a,143+,53+,17,13,20,PAR,,,,,MWN,
U3,MWN 2817,Mus musculus,female,a,131+,35+,17,13,30,"3R 3L, 16 mm",,,,,MWN,
U3,MWN 2818,Mus musculus,female,a,142+,53+,16,13,19,"0R 1L, 2 mm",,,,,MWN,
U3,MWN 2819,Mus musculus,female,a,145+,61+,16,13,25,"6R 0L, 14 mm",,,,,MWN,
U3,MWN 2820,Mus musculus,female,a,166+,79+,17,13,23,"2R 2L, 12 mm",,,,,MWN,
U3,MWN 2821,Mus musculus,male,a,146+,64+,17,12,20,,53,42,+,,DNM,
U3,MWN 2822,Mus musculus,female,a,139+,56+,16,12,20,"3R 3L, 3 mm",,,,,MWN,
U3,MWN 2823,Mus musculus,male,a,145+,57+,18,12,22,,42,64,+,,DNM,
U3,MWN 2824,Mus musculus,female,a,145+,61+,18,13,22,"1R 4L, 10 mm",,,,,MWN,
U3,MWN 2825,Mus musculus,male,a,137+,62+,16,13,16,,45,42,,,DNM,
U3,MWN 2826,Mus musculus,female,a,182+,89+,18,13,23,NULL,,,,,MWN,
U3,MWN 2827,Mus musculus,male,a,149+,65+,17,13,17,,51,24,,light belly,DNM,
U3,MWN 2828,Mus musculus,female,a,154+,66+,18,13,18,"1R 3L, 1 mm",,,,,MWN,
U3,MWN 2829,Mus musculus,male,a,157+,64+,18,13,23,,59,39,,,DNM,
U3,MWN 2830,Mus musculus,female,a,150+,65+,16,13,17,"2R 3L, 4 mm",,,,,MWN,
U3,MWN 2831,Mus musculus,male,a,149+,61+,18,12,22,,62,57,++,,DNM,
U3,MWN 2832,Mus musculus,female,a,164+,69+,17,13,23,PAR,,,,,DNM,
U3,MWN 2833,Mus musculus,female,a,164+,70+,17,13,24,"3R 0L, 9 mm",,,,light belly,DNM,
U3,MWN 2834,Mus musculus,female,a,185,92,19,14,25,"0R 1L, 16 mm",,,,,DNM,
U3,MWN 2835,Mus musculus,female,a,150+,59+,17,13,19,"1R atrophied 0L, 3 mm ",,,,,DNM,
U3,MWN 2836,Mus musculus,female,a,130+,39+,17,13,28,"1R 3L, 11 mm",,,,light belly,DNM,
U3,MWN 2837,Mus musculus,female,a,160+,69+,18,13,22,PAR,,,+,,DNM,
U3,MWN 2838,Mus musculus,female,a,132+,41+,17,13,20,PAR,,,,,DNM,
U3,MWN 2839,Mus musculus,male,a,130+,45+,18,13,20,,62,41,+,light belly,DNM,
U3,MWN 2840,Mus musculus,female,a,189+,90+,18,13,23,PAR,,,,,DNM,
U3,MWN 2841,Mus musculus,male,a,135+,57+,18,13,19,,71,37,+,,DNM,
U3,MWN 2842,Mus musculus,female,a,129+,46+,16,12,16,PAR,,,,,DNM,
U3,MWN 2843,Mus musculus,female,a,188,92,18,12,22,PAR,,,,,DNM,
U3,MWN 2844,Mus musculus,female,a,127+,37+,17,12,21,"1R 1L, 20 mm",,,,,DNM,
U3,MWN 2845,Mus musculus,male,a,159+,71+,18,13,20,,65,61,++,,DNM,
U3,MWN 2846,Mus musculus,female,a,160+,70+,18,13,29,"0R 3L, 11 mm",,,+,light belly,DNM,
U3,MWN 2847,Mus musculus,male,a,149+,45+,17,12,26,,34,69,+,few sperm visible,DNM,
U3,MWN 2848,Mus musculus,female,a,142+,54+,18,13,20,PAR,,,,,DNM,
U3,MWN 2849,Mus musculus,male,a,149+,63+,17,12,20,,72,55,+,,DNM,
U3,MWN 2850,Mus musculus,female,a,142+,46+,19,13,23,"1R 0L, emb atrophied",,,+,,DNM,
U3,MWN 2851,Mus musculus,male,a,154+,66+,17,12,22,,68,56,++,,MWN,
U3,MWN 2852,Mus musculus,female,a,149+,66+,18,13,19,PAR,,,,,DNM,
U3,MWN 2853,Mus musculus,male,a,118+,31+,18,12,20,,51,37,+++,,MWN,
U3,MWN 2854,Mus musculus,female,a,144+,41+,18,13,35,"2R 2L, 18 mm",,,,,MWN,
U3,MWN 2855,Mus musculus,male,a,130+,42+,17,12,21,,54,48,+,,MWN,
U3,MWN 2856,Mus musculus,female,a,145+,56+,17,13,21,"4R 2L, 4 mm",,,,,MWN,
U3,MWN 2857,Mus musculus,male,a,129+,40+,18,13,21,,54,80,,,MWN,
U3,MWN 2858,Mus musculus,female,a,153+,62+,18,13,22,NULL,,,,,MWN,
U3,MWN 2859,Mus musculus,male,sa,125+,50+,17,12,13,,58,13,,,MWN,
U3,MWN 2860,Mus musculus,female,a,183+,85+,18,12,21,PAR,,,,,MWN,
U3,MWN 2861,Mus musculus,male,a,135+,55+,16,12,17,,61,48,,,DNM,
U3,MWN 2862,Mus musculus,female,a,140+,47+,17,12,19,NULL,,,,,MWN,
U3,MWN 2863,Mus musculus,male,a,126+,36+,17,12,19,,32,42,+,,DNM,
U3,MWN 2864,Mus musculus,female,a,149+,59+,18,13,23,"2R 2L, 9 mm",,,,,MWN,
U3,MWN 2865,Mus musculus,male,a,158+,72+,17,12,23,,53,40,+,,DNM,
U3,MWN 2866,Mus musculus,female,sa,129+,49+,16,12,17,NULL,,,,,MWN,
U3,MWN 2867,Mus musculus,male,a,155+,80+,18,13,16,,62,35,,,DNM,
U3,MWN 2868,Mus musculus,female,a,171+,88+,18,13,23,"1R 4L, 3 mm",,,,,MWN,
U3,MWN 2869,Mus musculus,male,a,130+,45+,18,13,20,,46,1,,,DNM,
U3,MWN 2870,Mus musculus,female,a,150+,63+,17,13,18,PAR,,,,,MWN,
U3,MWN 2871,Mus musculus,male,a,127+,38+,17,13,20,,22,47,,"many abnormal sperm: crumpled, rounded, no head sperm",DNM,
U3,MWN 2872,Mus musculus,female,a,162+,68+,17,12,20,PAR,,,,,MWN,
U3,MWN 2873,Mus musculus,male,a,152+,62+,17,11,21,,31,73,++,few abnormal sperm but with many total sperm,DNM,
U3,MWN 2874,Mus musculus,female,a,149+,56+,17,13,23,"3R 2L, 8 mm",,,,,MWN,
U3,MWN 2875,Mus musculus,female,a,117+,27+,18,12,20,NULL,,,,,MWN,
U3,MWN 2876,Mus musculus,female,a,135+,56+,16,12,17,"2R 3L, 8 mm",,,,,MWN,
