Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L3,MWN 1891,Mus musculus,female,a,132+,49+,17,12,20,"1R 3L, 11 mm",,,,,DNM,
L3,MWN 1892,Mus musculus,male,a,175,84,19,14,22,,83,35,,,DNM,
L3,MWN 1893,Mus musculus,male,sa,137+,65+,17,12,13,,60,1,,,DNM,
L3,MWN 1894,Mus musculus,male,sa,125+,44+,16,13,16,,50,4,,,DNM,
L3,MWN 1895,Mus musculus,female,a,128+,37+,18,13,18,PAR,,,,,DNM,
L3,MWN 1896,Mus musculus,female,a,135+,54+,18,13,16,PAR,,,,,DNM,
L3,MWN 1897,Mus musculus,female,a,134+,41+,16,12,23,"1R 1L, 11 mm",,,,,DNM,
L3,MWN 1898,Mus musculus,female,a,155+,69+,18,13,21,"1R 4L, 11 mm",,,,,DNM,
L3,MWN 1899,Mus musculus,male,a,133+,49+,18,11,18,,53,54,,,DNM,
L3,MWN 1900,Mus musculus,female,a,138+,50+,17,13,28,"4R 3L, 17 mm",,,,,MWN,
L3,MWN 1901,Mus musculus,male,a,138+,53+,18,13,20,,81,55,,,MWN,
L3,MWN 1902,Mus musculus,female,a,120+,39+,18,13,24,"4R 2L, 18 mm",,,,,MWN,
L3,MWN 1903,Mus musculus,male,a,148+,64+,18,13,19,,63,18,,,MWN,
L3,MWN 1904,Mus musculus,female,a,148+,58+,18,12,24,"0R 3L, 14 mm",,,,,MWN,
L3,MWN 1905,Mus musculus,male,a,125+,40+,17,12,20,,80,52,,,MWN,
L3,MWN 1906,Mus musculus,female,a,174+,76+,18,13,24,PAR,,,,,MWN,
L3,MWN 1907,Mus musculus,male,a,133+,51+,18,13,17,,58,46,,,MWN,
L3,MWN 1908,Mus musculus,female,a,148+,62+,17,13,21,"4R 3L, 12 mm",,,,,MWN,
L3,MWN 1909,Mus musculus,male,a,174,87+,18,13,21,,78,11,,,MWN,
